日期,最高气温,最低气温,天气,风向
2022/1/1,14,-2,霾,西南风 1级
2022/1/2,13,-2,晴,西南风 1级
2022/1/3,15,6,多云,南风 0级
2022/1/4,10,4,小雨,东北风 2级
2022/1/5,5,4,多云,北风 2级
2022/1/6,7,3,多云,北风 2级
2022/1/7,9,3,阴,北风 1级
2022/1/8,8,1,阴,西北风 2级
2022/1/9,8,2,阴,东风 1级
2022/1/10,8,-1,晴,北风 2级
2022/1/11,10,-1,晴,西风 1级
2022/1/12,9,-1,多云,南风 4级
2022/1/13,9,0,晴,北风 1级
2022/1/14,5,-1,小雨,南风 0级
2022/1/15,11,3,阴,西风 1级
2022/1/16,12,4,阴,西风 1级
2022/1/17,14,0,晴,东北风 2级
2022/1/18,13,0,晴,南风 1级
2022/1/19,12,1,霾,东北风 2级
2022/1/20,9,6,阴,东北风 2级
2022/1/21,6,4,小雨,东北风 2级
2022/1/22,5,4,小雨,北风 1级
2022/1/23,5,2,阴到小雪,北风 2级
2022/1/24,4,2,小雨,北风 2级
2022/1/25,5,3,阴,东北风 1级
2022/1/26,4,1,多云,北风 3级
2022/1/27,4,0,阴到小雪,北风 2级
2022/1/28,2,0,小雪,北风 2级
2022/1/29,5,-3,多云,北风 1级
2022/1/30,6,-1,阴,东风 1级
2022/1/31,7,0,多云,东北风 2级
2022/2/1,8,2,多云,东北风 2级
2022/2/2,4,0,雾,东北风 1级
2022/2/3,6,-2,雾,西北风 2级
2022/2/4,11,-3,雾,东北风 1级
2022/2/5,10,1,多云,东北风 2级
2022/2/6,6,-1,多云,东风 2级
2022/2/7,2,-1,暴雪,北风 2级
2022/2/8,4,1,多云,北风 1级
2022/2/9,6,-2,雾,南风 2级
2022/2/10,6,3,多云,东风 1级
2022/2/11,6,2,多云,北风 1级
2022/2/12,8,3,多云,北风 1级
2022/2/13,8,0,雾,南风 1级
2022/2/14,9,2,多云,北风 2级
2022/2/15,10,5,多云,东风 1级
2022/2/16,9,3,多云,东风 3级
2022/2/17,4,1,雨夹雪,东风 3级
2022/2/18,2,1,中雪,北风 3级
2022/2/19,5,-2,多云,北风 3级
2022/2/20,8,-1,多云,西南风 1级
2022/2/21,9,1,多云,北风 1级
2022/2/22,9,0,阴,东南风 4级
2022/2/23,10,0,多云,西南风 2级
2022/2/24,12,0,多云,东南风 1级
2022/2/25,14,1,多云,东南风 1级
2022/2/26,18,4,多云,东北风 2级
2022/2/27,19,9,多云,东南风 1级
2022/2/28,15,9,阴,西北风 1级
2022/3/1,18,4,晴,北风 2级
2022/3/2,19,5,晴,东南风 2级
2022/3/3,23,8,阴,西北风 1级
2022/3/4,22,11,多云,南风 1级
2022/3/5,19,11,多云,东北风 3级
2022/3/6,18,4,阴,北风 2级
2022/3/7,20,7,晴,南风 2级
2022/3/8,22,9,晴,东风 2级
2022/3/9,24,10,晴,东南风 2级
2022/3/10,27,12,多云,东南风 2级
2022/3/11,28,13,晴,东南风 1级
2022/3/12,29,18,多云,南风 2级
2022/3/13,29,18,多云,东南风 2级
2022/3/14,25,17,霾,北风 1级
2022/3/15,28,15,多云,东南风 1级
2022/3/16,26,12,小雨到中雨,西北风 3级
2022/3/17,10,5,多云,北风 3级
2022/3/18,13,6,晴,东南风 1级
2022/3/19,14,7,阴,东北风 3级
2022/3/20,7,5,小雨,北风 3级
2022/3/21,7,5,小雨到中雨,东北风 2级
2022/3/22,8,4,多云,北风 2级
2022/3/23,12,5,晴,东南风 1级
2022/3/24,18,10,小雨到中雨,东风 1级
2022/3/25,14,9,多云,北风 3级
2022/3/26,15,10,多云,北风 1级
2022/3/27,20,7,多云,东北风 2级
2022/3/28,21,11,晴,南风 2级
2022/3/29,22,12,晴,东风 2级
2022/3/30,21,15,阴,北风 2级
2022/3/31,15,10,阴,东北风 3级
2022/4/1,17,7,多云,北风 1级
2022/4/2,21,7,晴,西北风 1级
2022/4/3,22,10,多云,东南风 1级
2022/4/4,21,12,阴,东南风 2级
2022/4/5,23,12,多云,西南风 2级
2022/4/6,26,13,多云,南风 1级
2022/4/7,28,14,晴,东南风 2级
2022/4/8,30,15,多云,东南风 3级
2022/4/9,30,16,多云,南风 2级
2022/4/10,31,17,晴,南风 3级
2022/4/11,31,21,晴,西南风 3级
2022/4/12,27,13,小雨,北风 4级
2022/4/13,17,10,晴,北风 2级
2022/4/14,17,13,多云,东北风 3级
2022/4/15,16,11,阴,东北风 2级
2022/4/16,15,10,多云,西风 2级
2022/4/17,17,10,多云,西风 3级
2022/4/18,22,12,多云,西风 2级
2022/4/19,24,12,晴,南风 2级
2022/4/20,23,14,晴,南风 1级
2022/4/21,28,16,多云,南风 1级
2022/4/22,27,17,中雨到大雨,东北风 2级
2022/4/23,27,18,晴,东北风 2级
2022/4/24,29,21,小雨,东南风 3级
2022/4/25,26,17,阴,西北风 2级
2022/4/26,27,18,多云,东风 2级
2022/4/27,26,18,晴,东南风 3级
2022/4/28,22,10,小雨到中雨,北风 4级
2022/4/29,19,12,多云,东南风 2级
2022/4/30,16,13,多云,北风 2级
2022/5/1,21,11,多云,西南风 2级
2022/5/2,26,13,多云,南风 2级
2022/5/3,28,13,多云,南风 2级
2022/5/4,29,15,晴,东南风 2级
2022/5/5,31,17,晴,东南风 2级
2022/5/6,32,17,多云,东南风 2级
2022/5/7,29,20,多云,东南风 2级
2022/5/8,27,18,多云,东风 2级
2022/5/9,25,14,多云,东北风 2级
2022/5/10,19,14,多云,北风 2级
2022/5/11,23,17,多云,东北风 2级
2022/5/12,24,18,多云,北风 2级
2022/5/13,22,16,多云,东北风 2级
2022/5/14,21,11,小雨,北风 3级
2022/5/15,21,13,多云,北风 1级
2022/5/16,24,17,晴,西南风 2级
2022/5/17,28,16,多云,南风 3级
2022/5/18,24,17,阴,东南风 1级
2022/5/19,20,15,阴到小雨,东北风 1级
2022/5/20,23,16,阴,东南风 1级
2022/5/21,25,18,多云,南风 1级
2022/5/22,26,19,多云,西南风 1级
2022/5/23,29,18,多云,东南风 3级
2022/5/24,30,20,多云,东南风 2级
2022/5/25,31,20,多云,东风 2级
2022/5/26,27,19,多云,北风 1级
2022/5/27,27,21,阴,西北风 2级
2022/5/28,25,22,多云,南风 1级
2022/5/29,30,23,多云,西风 2级
2022/5/30,31,22,多云,北风 2级
2022/5/31,31,22,小雨到中雨,东南风 1级
2022/6/1,29,23,多云,东风 1级
2022/6/2,28,24,多云,东南风 1级
2022/6/3,29,24,多云,东南风 2级
2022/6/4,29,23,阴,东南风 1级
2022/6/5,30,21,多云,北风 1级
2022/6/6,34,22,多云,西南风 1级
2022/6/7,35,23,晴,东南风 3级
2022/6/8,34,24,多云,东南风 2级
2022/6/9,32,24,多云,东南风 2级
2022/6/10,32,23,多云,东南风 1级
2022/6/11,31,23,小雨,东风 2级
2022/6/12,26,21,多云,南风 1级
2022/6/13,30,21,多云,西南风 1级
2022/6/14,33,23,晴,东北风 1级
2022/6/15,34,23,晴,东南风 2级
2022/6/16,35,23,多云,西南风 2级
2022/6/17,34,25,晴,西风 2级
2022/6/18,31,25,多云,南风 3级
2022/6/19,27,23,多云,东南风 1级
2022/6/20,31,24,多云,南风 2级
2022/6/21,31,25,晴,东南风 2级
2022/6/22,32,27,多云,南风 2级
2022/6/23,32,26,小雨到中雨,西南风 2级
2022/6/24,30,25,晴,东南风 2级
2022/6/25,33,28,晴,南风 2级
2022/6/26,34,26,多云,南风 3级
2022/6/27,34,25,小雨,西风 3级
2022/6/28,33,25,多云,南风 3级
2022/6/29,35,25,多云,南风 2级
2022/6/30,33,26,多云,东南风 3级
2022/7/1,34,25,晴,东南风 2级
2022/7/2,33,27,阴,东风 2级
2022/7/3,34,26,多云,北风 2级
2022/7/4,31,25,多云,东北风 2级
2022/7/5,28,25,小雨,西南风 1级
2022/7/6,33,25,多云,东北风 1级
2022/7/7,34,24,晴,南风 3级
2022/7/8,34,27,晴,南风 1级
2022/7/9,35,29,晴,西南风 1级
2022/7/10,36,28,晴,南风 2级
2022/7/11,36,29,晴,南风 3级
2022/7/12,36,30,多云,西南风 1级
2022/7/13,36,29,多云,西南风 3级
2022/7/14,37,29,多云,西南风 2级
2022/7/15,37,29,多云,西南风 3级
2022/7/16,36,25,小雨,东南风 1级
2022/7/17,30,26,多云,西南风 1级
2022/7/18,35,27,多云,东北风 1级
2022/7/19,33,25,小雨,西南风 3级
2022/7/20,27,25,多云,北风 1级
2022/7/21,33,25,多云,东南风 2级
2022/7/22,34,25,多云,西南风 3级
2022/7/23,28,24,多云,北风 1级
2022/7/24,33,26,多云,东南风 2级
2022/7/25,36,27,晴,南风 1级
2022/7/26,37,23,晴,东风 1级
2022/7/27,36,27,多云,西北风 1级
2022/7/28,31,25,多云,东风 1级
2022/7/29,32,24,晴,北风 1级
2022/7/30,34,24,晴,北风 1级
2022/7/31,35,25,晴,北风 2级
2022/8/1,36,26,晴,东风 2级
2022/8/2,37,28,晴,东风 2级
2022/8/3,38,27,阴,东南风 2级
2022/8/4,37,28,晴,东南风 1级
2022/8/5,37,29,晴,南风 3级
2022/8/6,36,29,晴,西南风 2级
2022/8/7,37,29,多云,南风 2级
2022/8/8,38,30,晴,东南风 3级
2022/8/9,39,29,多云,东南风 3级
2022/8/10,38,29,多云,东南风 2级
2022/8/11,37,29,多云,东南风 2级
